,agent,avg_reward,std_reward,step,test_id
169,iql,14.0,0.0,3687,-1
170,iql,19.0,0.0,3706,-1
171,iql,16.0,0.0,3722,-1
172,iql,36.0,0.0,3758,-1
173,iql,34.0,0.0,3792,-1
174,iql,33.0,0.0,3825,-1
175,iql,8.0,0.0,3833,-1
176,iql,57.0,0.0,3890,-1
177,iql,18.0,0.0,3908,-1
178,iql,13.0,0.0,3921,-1
179,iql,21.0,0.0,3942,-1
180,iql,30.0,0.0,3972,-1
181,iql,9.0,0.0,3981,-1
182,iql,26.0,0.0,4007,-1
183,iql,29.0,0.0,4036,-1
184,iql,16.0,0.0,4052,-1
185,iql,13.0,0.0,4065,-1
186,iql,18.0,0.0,4083,-1
187,iql,11.0,0.0,4094,-1
188,iql,11.0,0.0,4105,-1
189,iql,12.0,0.0,4117,-1
190,iql,22.0,0.0,4139,-1
191,iql,59.0,0.0,4198,-1
192,iql,13.0,0.0,4211,-1
193,iql,16.0,0.0,4227,-1
194,iql,32.0,0.0,4259,-1
195,iql,13.0,0.0,4272,-1
196,iql,38.0,0.0,4310,-1
197,iql,12.0,0.0,4322,-1
198,iql,12.0,0.0,4334,-1
199,iql,21.0,0.0,4355,-1
200,iql,10.0,0.0,4365,-1
201,iql,13.0,0.0,4378,-1
202,iql,31.0,0.0,4409,-1
203,iql,13.0,0.0,4422,-1
204,iql,32.0,0.0,4454,-1
205,iql,15.0,0.0,4469,-1
206,iql,16.0,0.0,4485,-1
207,iql,14.0,0.0,4499,-1
208,iql,18.0,0.0,4517,-1
209,iql,13.0,0.0,4530,-1
210,iql,30.0,0.0,4560,-1
211,iql,28.0,0.0,4588,-1
212,iql,24.0,0.0,4612,-1
213,iql,10.0,0.0,4622,-1
214,iql,31.0,0.0,4653,-1
215,iql,27.0,0.0,4680,-1
216,iql,31.0,0.0,4711,-1
217,iql,14.0,0.0,4725,-1
218,iql,19.0,0.0,4744,-1
219,iql,18.0,0.0,4762,-1
220,iql,54.0,0.0,4816,-1
221,iql,37.0,0.0,4853,-1
222,iql,28.0,0.0,4881,-1
223,iql,18.0,0.0,4899,-1
224,iql,13.0,0.0,4912,-1
225,iql,12.0,0.0,4924,-1
226,iql,16.0,0.0,4940,-1
227,iql,11.0,0.0,4951,-1
228,iql,12.0,0.0,4963,-1
229,iql,15.0,0.0,4978,-1
230,iql,14.0,0.0,4992,-1
231,iql,13.0,0.0,5005,-1
232,iql,10.0,0.0,5015,-1
233,iql,10.0,0.0,5025,-1
234,iql,34.0,0.0,5059,-1
235,iql,15.0,0.0,5074,-1
236,iql,56.0,0.0,5130,-1
237,iql,21.0,0.0,5151,-1
238,iql,32.0,0.0,5183,-1
239,iql,12.0,0.0,5195,-1
240,iql,14.0,0.0,5209,-1
241,iql,60.0,0.0,5269,-1
242,iql,16.0,0.0,5285,-1
243,iql,20.0,0.0,5305,-1
244,iql,26.0,0.0,5331,-1
245,iql,17.0,0.0,5348,-1
246,iql,25.0,0.0,5373,-1
247,iql,14.0,0.0,5387,-1
248,iql,50.0,0.0,5437,-1
249,iql,41.5,22.5,5520,-1
250,iql,21.0,0.0,5541,-1
251,iql,25.0,0.0,5566,-1
252,iql,13.0,0.0,5579,-1
253,iql,24.0,0.0,5603,-1
254,iql,21.0,0.0,5624,-1
255,iql,15.0,0.0,5639,-1
256,iql,47.0,0.0,5686,-1
257,iql,19.0,0.0,5705,-1
258,iql,22.0,0.0,5727,-1
259,iql,30.0,0.0,5757,-1
260,iql,37.0,0.0,5794,-1
261,iql,13.0,0.0,5807,-1
262,iql,26.0,0.0,5833,-1
263,iql,21.0,0.0,5854,-1
264,iql,12.0,0.0,5866,-1
265,iql,17.0,0.0,5883,-1
266,iql,25.0,0.0,5908,-1
267,iql,37.5,26.5,5983,-1
268,iql,22.0,0.0,6005,-1
269,iql,12.0,0.0,6017,-1
270,iql,29.0,0.0,6046,-1
271,iql,10.0,0.0,6056,-1
272,iql,30.0,0.0,6086,-1
273,iql,15.0,0.0,6101,-1
274,iql,37.0,0.0,6138,-1
275,iql,58.0,0.0,6196,-1
276,iql,19.0,0.0,6215,-1
277,iql,18.0,0.0,6233,-1
278,iql,10.0,0.0,6243,-1
279,iql,20.0,0.0,6263,-1
280,iql,22.0,0.0,6285,-1
281,iql,27.0,0.0,6312,-1
282,iql,28.0,0.0,6340,-1
283,iql,18.0,0.0,6358,-1
284,iql,12.0,0.0,6370,-1
285,iql,17.0,0.0,6387,-1
286,iql,63.0,0.0,6450,-1
287,iql,20.0,0.0,6470,-1
288,iql,23.0,0.0,6493,-1
289,iql,18.0,0.0,6511,-1
290,iql,26.0,0.0,6537,-1
291,iql,22.0,0.0,6559,-1
292,iql,24.0,0.0,6583,-1
293,iql,38.0,0.0,6621,-1
294,iql,33.0,0.0,6654,-1
295,iql,29.0,0.0,6683,-1
296,iql,63.0,0.0,6746,-1
297,iql,18.0,0.0,6764,-1
298,iql,34.0,0.0,6798,-1
299,iql,27.0,0.0,6825,-1
300,iql,28.0,0.0,6853,-1
301,iql,24.0,0.0,6877,-1
302,iql,56.0,0.0,6933,-1
303,iql,24.0,0.0,6957,-1
304,iql,30.0,0.0,6987,-1
305,iql,13.0,0.0,7000,-1
306,iql,26.0,0.0,7026,-1
307,iql,12.0,0.0,7038,-1
308,iql,12.0,0.0,7050,-1
309,iql,23.0,0.0,7073,-1
310,iql,33.0,0.0,7106,-1
311,iql,13.0,0.0,7119,-1
312,iql,12.0,0.0,7131,-1
313,iql,16.0,0.0,7147,-1
314,iql,24.0,0.0,7171,-1
315,iql,11.0,0.0,7182,-1
316,iql,16.0,0.0,7198,-1
317,iql,34.5,29.5,7267,-1
318,iql,38.0,0.0,7305,-1
319,iql,27.0,0.0,7332,-1
320,iql,27.0,0.0,7359,-1
321,iql,13.0,0.0,7372,-1
322,iql,21.0,0.0,7393,-1
323,iql,28.0,0.0,7421,-1
324,iql,35.0,0.0,7456,-1
325,iql,34.0,0.0,7490,-1
326,iql,18.0,0.0,7508,-1
327,iql,19.0,0.0,7527,-1
328,iql,26.0,0.0,7553,-1
329,iql,32.0,0.0,7585,-1
330,iql,17.0,0.0,7602,-1
331,iql,36.0,0.0,7638,-1
332,iql,30.0,0.0,7668,-1
333,iql,13.0,0.0,7681,-1
334,iql,28.0,0.0,7709,-1
335,iql,32.0,0.0,7741,-1
336,iql,21.0,0.0,7762,-1
337,iql,12.0,0.0,7774,-1
338,iql,25.0,0.0,7799,-1
339,iql,21.0,0.0,7820,-1
340,iql,33.0,0.0,7853,-1
341,iql,12.0,0.0,7865,-1
342,iql,14.0,0.0,7879,-1
343,iql,13.0,0.0,7892,-1
344,iql,18.0,0.0,7910,-1
345,iql,37.0,0.0,7947,-1
346,iql,19.0,0.0,7966,-1
347,iql,18.0,0.0,7984,-1
348,iql,26.0,0.0,8010,-1
349,iql,14.0,0.0,8024,-1
350,iql,11.0,0.0,8035,-1
351,iql,21.0,0.0,8056,-1
352,iql,16.0,0.0,8072,-1
353,iql,18.0,0.0,8090,-1
354,iql,22.0,0.0,8112,-1
355,iql,19.0,0.0,8131,-1
356,iql,57.0,0.0,8188,-1
357,iql,14.0,0.0,8202,-1
358,iql,13.0,0.0,8215,-1
359,iql,15.0,0.0,8230,-1
360,iql,28.0,0.0,8258,-1
361,iql,52.0,0.0,8310,-1
362,iql,13.0,0.0,8323,-1
363,iql,50.0,0.0,8373,-1
364,iql,46.0,0.0,8419,-1
365,iql,18.0,0.0,8437,-1
366,iql,21.0,0.0,8458,-1
367,iql,22.0,0.0,8480,-1
368,iql,50.0,0.0,8530,-1
369,iql,59.0,0.0,8589,-1
370,iql,23.0,0.0,8612,-1
371,iql,49.0,0.0,8661,-1
372,iql,12.0,0.0,8673,-1
373,iql,43.0,0.0,8716,-1
374,iql,10.0,0.0,8726,-1
375,iql,30.0,0.0,8756,-1
376,iql,14.0,0.0,8770,-1
377,iql,21.0,0.0,8791,-1
378,iql,23.0,0.0,8814,-1
379,iql,17.0,0.0,8831,-1
380,iql,22.0,0.0,8853,-1
381,iql,22.0,0.0,8875,-1
382,iql,11.0,0.0,8886,-1
383,iql,38.0,0.0,8924,-1
384,iql,14.0,0.0,8938,-1
385,iql,35.5,28.5,9009,-1
386,iql,30.0,0.0,9039,-1
387,iql,26.0,0.0,9065,-1
388,iql,13.0,0.0,9078,-1
389,iql,16.0,0.0,9094,-1
390,iql,11.0,0.0,9105,-1
391,iql,22.0,0.0,9127,-1
392,iql,20.0,0.0,9147,-1
393,iql,15.0,0.0,9162,-1
394,iql,35.0,0.0,9197,-1
395,iql,12.0,0.0,9209,-1
396,iql,29.0,0.0,9238,-1
397,iql,55.0,0.0,9293,-1
398,iql,13.0,0.0,9306,-1
399,iql,16.0,0.0,9322,-1
400,iql,24.0,0.0,9346,-1
401,iql,51.5,12.5,9449,-1
402,iql,9.0,0.0,9458,-1
403,iql,19.0,0.0,9477,-1
404,iql,18.0,0.0,9495,-1
405,iql,14.0,0.0,9509,-1
406,iql,53.0,0.0,9562,-1
407,iql,18.0,0.0,9580,-1
408,iql,19.0,0.0,9599,-1
409,iql,19.0,0.0,9618,-1
410,iql,23.0,0.0,9641,-1
411,iql,13.0,0.0,9654,-1
412,iql,28.0,0.0,9682,-1
413,iql,17.0,0.0,9699,-1
414,iql,43.0,21.0,9785,-1
415,iql,17.0,0.0,9802,-1
416,iql,13.0,0.0,9815,-1
417,iql,23.0,0.0,9838,-1
418,iql,32.5,31.5,9903,-1
419,iql,20.0,0.0,9923,-1
420,iql,17.0,0.0,9940,-1
421,iql,32.0,0.0,9972,-1
422,iql,32.0,0.0,10004,-1
423,iql,35.0,0.0,10039,-1
424,iql,22.0,0.0,10061,-1
425,iql,59.0,0.0,10120,-1
426,iql,24.0,0.0,10144,-1
427,iql,36.0,0.0,10180,-1
428,iql,12.0,0.0,10192,-1
429,iql,11.0,0.0,10203,-1
430,iql,39.0,25.0,10281,-1
431,iql,12.0,0.0,10293,-1
432,iql,25.0,0.0,10318,-1
433,iql,22.0,0.0,10340,-1
434,iql,11.0,0.0,10351,-1
435,iql,40.0,0.0,10391,-1
436,iql,11.0,0.0,10402,-1
437,iql,49.0,0.0,10451,-1
438,iql,27.0,0.0,10478,-1
439,iql,24.0,0.0,10502,-1
440,iql,20.0,0.0,10522,-1
441,iql,25.0,0.0,10547,-1
442,iql,15.0,0.0,10562,-1
443,iql,13.0,0.0,10575,-1
444,iql,15.0,0.0,10590,-1
445,iql,17.0,0.0,10607,-1
446,iql,15.0,0.0,10622,-1
447,iql,36.0,0.0,10658,-1
448,iql,26.0,0.0,10684,-1
449,iql,16.0,0.0,10700,-1
450,iql,23.0,0.0,10723,-1
451,iql,16.0,0.0,10739,-1
452,iql,23.0,0.0,10762,-1
453,iql,15.0,0.0,10777,-1
454,iql,11.0,0.0,10788,-1
455,iql,12.0,0.0,10800,-1
456,iql,10.0,0.0,10810,-1
457,iql,49.0,0.0,10859,-1
458,iql,11.0,0.0,10870,-1
459,iql,50.0,0.0,10920,-1
460,iql,21.0,0.0,10941,-1
461,iql,26.0,0.0,10967,-1
462,iql,36.0,0.0,11003,-1
463,iql,22.0,0.0,11025,-1
464,iql,36.0,28.0,11097,-1
465,iql,18.0,0.0,11115,-1
466,iql,12.0,0.0,11127,-1
467,iql,48.0,0.0,11175,-1
468,iql,38.5,25.5,11252,-1
469,iql,18.0,0.0,11270,-1
470,iql,16.0,0.0,11286,-1
471,iql,44.0,0.0,11330,-1
